Dates,Overall Gross
2019-06-06,21100791
2019-06-13,21800397
2019-06-20,20213325
2019-06-27,20924686
2019-07-04,16910582
2019-07-11,29037730
2019-07-18,16419870
2019-07-25,26740727
2019-08-01,25178483
2019-08-08,32116420
2019-08-15,24178092
2019-08-22,21074297
2019-08-29,18521625
2019-09-05,11765952
2019-09-12,16632280
2019-09-19,14609050
2019-09-26,9640727
2019-10-03,7700781
2019-10-10,8132163
2019-10-17,12942047
2019-10-24,10408706
2019-10-31,10479134
2019-11-07,11307592
2019-11-14,9479994
2019-11-21,26511469
2019-11-28,18715714
2019-12-05,17062438
2019-12-12,13277978
2019-12-19,28177081
2019-12-26,11523342
2020-01-02,9792857
2020-01-09,13065010
2020-01-16,12285330
2020-01-23,12216792
2020-01-30,12041558
2020-02-06,10350531
2020-02-13,11036312
2020-02-20,8334377
2020-02-27,7915165
2020-03-05,5852867
2020-03-12,4882595
2020-03-19,3856126
2020-03-26,12158
2020-04-02,42208
2020-05-14,59344
2020-05-21,790386
2020-05-28,919387
2020-06-04,1402140
