Date,number of theaters
"Jun 2, 2019",642
"Jun 3, 2019",3
"Jun 3, 2019
            ",529
"Jun 5, 2019
            ",311
"Jun 6, 2019
            ",665
"Jun 7, 2019
            ",4564
"Jun 7, 2019
            ",3721
"Jun 7, 2019",68
"Jun 7, 2019",21
"Jun 7, 2019",288
"Jun 7, 2019
            ",16
"Jun 7, 2019",30
"Jun 7, 2019",207
"Jun 7, 2019 ",2220
"Jun 7, 2019
            ",16
"Jun 7, 2019",21
"Jun 7, 2019
            ",5
"Jun 7, 2019
            ",28
"Jun 7, 2019
            ",2
"Jun 7, 2019
            ",7
"Jun 7, 2019",8
"Jun 12, 2019",11
"Jun 12, 2019
            ",447
"Jun 13, 2019
            ",284
"Jun 14, 2019
            ",4224
"Jun 14, 2019
            ",2952
"Jun 14, 2019
            ",690
"Jun 14, 2019
            ",128
"Jun 14, 2019
            ",117
"Jun 14, 2019",18
"Jun 14, 2019
            ",10
"Jun 14, 2019
            ",5
"Jun 7, 2019 ",2220
"Jun 14, 2019
            ",13
"Jun 14, 2019
            ",1
"Jun 14, 2019",4
"Jun 14, 2019",6
"Jun 14, 2019",6
"Jun 17, 2019",6
"Jun 21, 2019
            ",4575
"Jun 21, 2019
            ",3007
"Jun 21, 2019
            ",2114
"Jun 21, 2019
            ",13
"Jun 21, 2019",195
"Jun 21, 2019",78
"Jun 21, 2019",9
"Jun 21, 2019",11
"Jun 21, 2019
            ",2
"Jun 21, 2019",2
"Jun 21, 2019",2
"Jun 23, 2019",560
"Jun 25, 2019
            ",492
"Jun 26, 2019
            ",3613
"Jun 28, 2019
            ",2755
"Jun 28, 2019",205
"Jun 28, 2019
            ",58
"Jun 28, 2019",180
"Jun 28, 2019",11
"Jun 28, 2019
            ",5
"Jun 28, 2019
            ",1
"Jun 28, 2019
            ",1
"Jun 28, 2019",7
"Jun 28, 2019",7
"Jun 28, 2019",7
"Jul 1, 2019
            ",745
"Jul 1, 2019
            ",745
"Jul 2, 2019
            ",4634
"Jul 3, 2019",2707
"Jul 5, 2019
            ",25
"Jul 5, 2019",5
"Jul 5, 2019",101
"Jul 5, 2019
            ",3
"Jul 5, 2019
            ",2
"Jul 8, 2019
            ",572
"Jul 11, 2019",346
"Jul 11, 2019
            ",445
"Jul 12, 2019
            ",3170
"Jul 12, 2019
            ",3050
"Jul 12, 2019",317
"Jul 12, 2019",205
"Jul 12, 2019",89
"Jul 12, 2019
            ",54
"Jul 12, 2019
            ",40
"Jul 12, 2019
            ",45
"Jul 12, 2019
            ",550
"Jul 12, 2019 ",891
"Jul 12, 2019",78
"Jul 12, 2019",7
"Jul 12, 2019",7
"Jul 12, 2019",2
"Jul 14, 2019
            ",252
"Jul 17, 2019",488
"Jul 19, 2019
            ",4802
"Jul 19, 2019
            ",13
"Jul 19, 2019",67
"Jul 19, 2019",2
"Jul 19, 2019",2
"Jul 19, 2019",1
"Jul 19, 2019",4
"Jul 19, 2019
            ",6
"Jul 19, 2019
            ",1
"Jul 19, 2019
            ",1
"Jul 19, 2019",1
"Jul 20, 2019
            ",194
"Jul 21, 2019",435
"Jul 22, 2019
            ",367
"Jul 23, 2019
            ",614
"Jul 24, 2019",37
"Jul 25, 2019
            ",727
"Jul 26, 2019
            ",3659
"Jul 26, 2019",39
"Jul 26, 2019",4
"Jul 26, 2019",56
"Jul 26, 2019
            ",15
"Jul 26, 2019",1
"Jul 26, 2019",2
"Jul 26, 2019",4
"Jul 26, 2019",4
"Jul 26, 2019",4
"Jul 28, 2019",753
"Jul 31, 2019",17
"Jul 31, 2019
            ",648
"Aug 1, 2019",503
"Jul 12, 2019 ",891
"Aug 1, 2019",503
"Aug 2, 2019
            ",4344
"Aug 2, 2019",25
"Aug 2, 2019",37
"Aug 2, 2019",235
"Aug 2, 2019
            ",6
"Aug 2, 2019",195
"Aug 2, 2019",19
"Aug 2, 2019",79
"Aug 2, 2019",10
"Aug 2, 2019 ",10
"Aug 2, 2019",1
"Aug 3, 2019",1
"Aug 4, 2019
            ",2
"Aug 5, 2019",30
"Aug 6, 2019",634
"Aug 7, 2019",873
"Aug 7, 2019",745
"Aug 8, 2019",513
"Aug 9, 2019",3735
"Aug 9, 2019",3135
"Aug 9, 2019
            ",2765
"Aug 9, 2019
            ",2745
"Aug 9, 2019
            ",1240
"Aug 9, 2019",155
"Aug 9, 2019
            ",150
"Aug 9, 2019",68
"Aug 9, 2019 ",1490
"Aug 9, 2019",10
"Aug 9, 2019",428
"Jul 12, 2019 ",891
"Aug 9, 2019 ",36
"Aug 9, 2019",16
"Aug 9, 2019
            ",2
"Aug 9, 2019",1
"Aug 9, 2019",3
"Aug 11, 2019",669
"Aug 13, 2019
            ",3869
"Aug 13, 2019
            ",512
"Aug 15, 2019
            ",263
"Aug 15, 2019",81
"Aug 15, 2019",685
"Aug 15, 2019",781
"Aug 16, 2019
            ",3458
"Aug 16, 2019",2883
"Aug 16, 2019
            ",2404
"Aug 16, 2019
            ",2307
"Aug 16, 2019",23
"Aug 16, 2019",17
"Aug 16, 2019",15
"Aug 16, 2019",69
"Aug 16, 2019",3
"Aug 16, 2019",4
"Aug 16, 2019",8
"Aug 16, 2019",6
"Aug 16, 2019",6
"Aug 16, 2019",1
"Aug 16, 2019",1
"Aug 19, 2019",8
"Aug 21, 2019
            ",2998
"Aug 21, 2019",19
"Aug 21, 2019",494
"Aug 23, 2019
            ",3336
"Aug 23, 2019
            ",2293
"Aug 23, 2019",25
"Aug 9, 2019 ",1490
"Aug 23, 2019",77
"Aug 23, 2019 ",1033
"Aug 23, 2019",18
"Aug 23, 2019",2
"Aug 23, 2019",32
"Aug 23, 2019",31
"Aug 23, 2019",31
"Aug 25, 2019",767
"Aug 28, 2019",1
"Aug 29, 2019",381
"Aug 29, 2019",135
"Aug 30, 2019
            ",970
"Aug 30, 2019",922
"Aug 30, 2019
            ",371
"Aug 30, 2019
            ",322
"Aug 30, 2019",42
"Aug 30, 2019",485
"Aug 30, 2019",31
"Aug 9, 2019 ",36
"Aug 30, 2019",2
"Sep 1, 2019",661
"Aug 23, 2019 ",1033
"Sep 1, 2019",661
"Sep 1, 2019",661
"Sep 3, 2019",661
"Sep 4, 2019",3
"Sep 5, 2019
            ",81
"Sep 6, 2019
            ",4570
"Sep 6, 2019
            ",195
"Sep 6, 2019",10
"Sep 6, 2019
            ",11
"Sep 6, 2019",247
"Sep 6, 2019",1
"Sep 6, 2019",6
"Sep 6, 2019",23
"Sep 6, 2019",5
"Sep 7, 2019",217
"Sep 10, 2019",499
"Sep 11, 2019",781
"Sep 12, 2019",517
"Sep 13, 2019
            ",3525
"Sep 13, 2019
            ",2542
"Sep 13, 2019",111
"Sep 13, 2019",36
"Sep 13, 2019
            ",13
"Aug 23, 2019 ",1033
"Sep 13, 2019",50
"Sep 13, 2019",4
"Sep 13, 2019",10
"Sep 13, 2019",7
"Sep 13, 2019",2
"Sep 13, 2019
            ",3
"Sep 13, 2019",31
"Sep 13, 2019",2
"Sep 13, 2019",1
"Sep 13, 2019",12
"Sep 13, 2019",12
"Sep 13, 2019",12
"Sep 13, 2019",12
"Sep 15, 2019",627
"Sep 15, 2019",179
"Sep 16, 2019",667
"Sep 16, 2019",610
"Sep 17, 2019",701
"Sep 18, 2019",7
"Sep 20, 2019
            ",3618
"Sep 20, 2019
            ",3460
"Sep 20, 2019",3548
"Sep 20, 2019
            ",100
"Sep 20, 2019",32
"Sep 20, 2019",22
"Sep 20, 2019",13
"Sep 20, 2019",11
"Sep 20, 2019",66
"Sep 20, 2019",11
"Sep 20, 2019",37
"Sep 20, 2019",11
"Sep 20, 2019",11
"Sep 22, 2019",669
"Sep 23, 2019",1586
"Sep 25, 2019
            ",110
"Sep 27, 2019
            ",4248
"Sep 27, 2019 ",1627
"Sep 27, 2019",105
"Sep 27, 2019",30
"Sep 27, 2019",30
"Sep 27, 2019",5
"Sep 27, 2019
            ",3
"Sep 27, 2019",10
"Sep 27, 2019",40
"Sep 27, 2019",2
"Sep 27, 2019",1
"Sep 27, 2019",1
"Sep 27, 2019",1
"Sep 27, 2019",1
"Sep 28, 2019",239
"Sep 29, 2019",750
"Sep 30, 2019",102
"Oct 1, 2019
            ",83
"Sep 27, 2019 ",1627
"Oct 1, 2019
            ",83
"Oct 2, 2019",497
"Oct 2, 2019",305
"Oct 2, 2019",1
"Oct 4, 2019",4374
"Sep 27, 2019 ",1627
"Oct 4, 2019
            ",231
"Oct 4, 2019",21
"Oct 4, 2019",19
"Oct 4, 2019",4
"Oct 4, 2019",266
"Oct 4, 2019",22
"Oct 4, 2019",20
"Oct 4, 2019",1
"Oct 4, 2019",1
"Oct 4, 2019",7
"Oct 4, 2019",297
"Oct 6, 2019",546
"Oct 8, 2019",546
"Oct 9, 2019",655
"Oct 9, 2019",53
"Oct 9, 2019",125
"Oct 11, 2019",4107
"Oct 11, 2019",3642
"Oct 11, 2019
            ",2332
"Oct 11, 2019",194
"Oct 11, 2019",106
"Oct 11, 2019",10
"Oct 11, 2019 ",2001
"Oct 11, 2019",3
"Oct 11, 2019",10
"Oct 11, 2019",1
"Oct 11, 2019",1
"Oct 12, 2019",1
"Oct 13, 2019",682
